WARNING:imageio:Lossy conversion from float64 to uint8. Range [0, 1]. Convert image to uint8 prior to saving to suppress this warning.
INFO:root:Epoch:[2]-[35/52] --> d_loss: 1.718, g_loss:1.000, g_recon_loss:1.000
INFO:root:Epoch:[2]-[36/52] --> d_loss: 1.531, g_loss:1.041, g_recon_loss:1.041
INFO:root:Epoch:[2]-[37/52] --> d_loss: 1.716, g_loss:1.017, g_recon_loss:1.017
INFO:root:Epoch:[2]-[38/52] --> d_loss: 1.711, g_loss:1.301, g_recon_loss:1.301
INFO:root:Epoch:[2]-[39/52] --> d_loss: 1.732, g_loss:1.058, g_recon_loss:1.058
INFO:root:Epoch:[2]-[40/52] --> d_loss: 1.612, g_loss:1.139, g_recon_loss:1.139
INFO:root:Epoch:[2]-[41/52] --> d_loss: 1.828, g_loss:1.039, g_recon_loss:1.039
INFO:root:Epoch:[2]-[42/52] --> d_loss: 1.634, g_loss:1.124, g_recon_loss:1.124
INFO:root:Epoch:[2]-[43/52] --> d_loss: 1.729, g_loss:0.898, g_recon_loss:0.898
INFO:root:Epoch:[2]-[44/52] --> d_loss: 1.461, g_loss:1.062, g_recon_loss:1.062
INFO:root:Epoch:[2]-[45/52] --> d_loss: 1.975, g_loss:0.889, g_recon_loss:0.889
INFO:root:Epoch:[2]-[46/52] --> d_loss: 1.811, g_loss:0.923, g_recon_loss:0.923
INFO:root:Epoch:[2]-[47/52] --> d_loss: 1.620, g_loss:1.124, g_recon_loss:1.124
INFO:root:Epoch:[2]-[48/52] --> d_loss: 1.758, g_loss:0.855, g_recon_loss:0.855
INFO:root:Epoch:[2]-[49/52] --> d_loss: 1.785, g_loss:0.936, g_recon_loss:0.936
INFO:root:Epoch:[2]-[50/52] --> d_loss: 1.479, g_loss:0.867, g_recon_loss:0.867
INFO:root:Epoch:[2]-[51/52] --> d_loss: 1.357, g_loss:0.853, g_recon_loss:0.853
INFO:root:Epoch:[3]-[0/52] --> d_loss: 1.871, g_loss:0.905, g_recon_loss:0.905
INFO:root:Epoch:[3]-[1/52] --> d_loss: 1.585, g_loss:0.937, g_recon_loss:0.937
INFO:root:Epoch:[3]-[2/52] --> d_loss: 1.628, g_loss:0.875, g_recon_loss:0.875
INFO:root:Epoch:[3]-[3/52] --> d_loss: 1.582, g_loss:0.848, g_recon_loss:0.848
INFO:root:Epoch:[3]-[4/52] --> d_loss: 1.859, g_loss:0.932, g_recon_loss:0.932
INFO:root:Epoch:[3]-[5/52] --> d_loss: 1.601, g_loss:0.914, g_recon_loss:0.914
INFO:root:Epoch:[3]-[6/52] --> d_loss: 1.743, g_loss:0.883, g_recon_loss:0.883
INFO:root:Epoch:[3]-[7/52] --> d_loss: 1.769, g_loss:1.070, g_recon_loss:1.070
INFO:root:Epoch:[3]-[8/52] --> d_loss: 1.290, g_loss:1.084, g_recon_loss:1.084
INFO:root:Epoch:[3]-[9/52] --> d_loss: 1.478, g_loss:1.102, g_recon_loss:1.102
INFO:root:Epoch:[3]-[10/52] --> d_loss: 1.542, g_loss:0.866, g_recon_loss:0.866
INFO:root:Epoch:[3]-[11/52] --> d_loss: 1.400, g_loss:0.942, g_recon_loss:0.942
INFO:root:Epoch:[3]-[12/52] --> d_loss: 1.459, g_loss:0.884, g_recon_loss:0.884
INFO:root:Epoch:[3]-[13/52] --> d_loss: 1.653, g_loss:0.935, g_recon_loss:0.935
INFO:root:Epoch:[3]-[14/52] --> d_loss: 1.580, g_loss:0.844, g_recon_loss:0.844
INFO:root:Epoch:[3]-[15/52] --> d_loss: 1.398, g_loss:0.917, g_recon_loss:0.917
INFO:root:Epoch:[3]-[16/52] --> d_loss: 1.366, g_loss:0.962, g_recon_loss:0.962
INFO:root:Epoch:[3]-[17/52] --> d_loss: 1.471, g_loss:0.773, g_recon_loss:0.773
INFO:root:Epoch:[3]-[18/52] --> d_loss: 1.814, g_loss:0.870, g_recon_loss:0.870
INFO:root:Epoch:[3]-[19/52] --> d_loss: 1.532, g_loss:0.821, g_recon_loss:0.821
INFO:root:Epoch:[3]-[20/52] --> d_loss: 1.775, g_loss:0.846, g_recon_loss:0.846
INFO:root:Epoch:[3]-[21/52] --> d_loss: 1.743, g_loss:0.955, g_recon_loss:0.955
INFO:root:Epoch:[3]-[22/52] --> d_loss: 1.683, g_loss:1.084, g_recon_loss:1.084
INFO:root:Epoch:[3]-[23/52] --> d_loss: 1.650, g_loss:0.948, g_recon_loss:0.948
INFO:root:Epoch:[3]-[24/52] --> d_loss: 1.608, g_loss:0.957, g_recon_loss:0.957
INFO:root:Epoch:[3]-[25/52] --> d_loss: 1.606, g_loss:0.922, g_recon_loss:0.922
INFO:root:Epoch:[3]-[26/52] --> d_loss: 1.499, g_loss:0.912, g_recon_loss:0.912
INFO:root:Epoch:[3]-[27/52] --> d_loss: 1.452, g_loss:0.871, g_recon_loss:0.871
INFO:root:Epoch:[3]-[28/52] --> d_loss: 1.558, g_loss:0.942, g_recon_loss:0.942
